input,output
The program provided a systematic approach to having a successful career in Canada,The program provided a systematic approach to having a successful career in Canada
The ascend program is  highly recommended to all immigrants to Canada to provide a smooth transitioning into the work environment In Canada with a potential for successful career growth. Y,The ascend program is  highly recommended to all immigrants to Canada to provide a smooth transitioning into the work environment In Canada with a potential for successful career growth. Y
Strengths and communication,Strengths and communication
"Nothing, it was great","Nothing, it was great"
Socializing and sharing ideas,Socializing and sharing ideas
Nothing in particular,Nothing in particular
Maybe more real-life case studies,Maybe more real-life case studies
Phone interview part was great,Phone interview part was great
Good overall,Good overall
Amazing,Amazing
"Good stuff, very informative","Good stuff, very informative"
Overall great,Overall great
"Talks about Canadian culture, networking tips, and interview process","Talks about Canadian culture, networking tips, and interview process"
Highly recommend!,Highly recommend!
:>,:>
It helps me understand the importance of transferable skills,It helps me understand the importance of transferable skills
Maybe more video to make the workshop more lively,Maybe more video to make the workshop more lively
:> nice,:> nice
The comprehensive guide of how to create a digital portfolio,The comprehensive guide of how to create a digital portfolio
it would be better if the workshop has case study,it would be better if the workshop has case study
the importance of volunteering and how it can help a newcomer with no previous employment in Canada,the importance of volunteering and how it can help a newcomer with no previous employment in Canada
more videos would be better,more videos would be better
I know some commonly used job search engines for employment in Canada,I know some commonly used job search engines for employment in Canada
too many scattered sections,too many scattered sections
nice workshop :>,nice workshop :>
Tips that help keep attention focused on the purpose and goals during a video meeting,Tips that help keep attention focused on the purpose and goals during a video meeting
including different situations could be better,including different situations could be better
The example of salary negotiation help me understand how to presents strengths for a higher salary,The example of salary negotiation help me understand how to presents strengths for a higher salary
maybe more videos,maybe more videos
more videos could be more vivid,more videos could be more vivid
living examples that provide helpful guidance,living examples that provide helpful guidance
those records help me learn from living examples and understand more about how to negotiate during a job search,those records help me learn from living examples and understand more about how to negotiate during a job search
Learning about ASCEND,Learning about ASCEND
Importance of Personal Branding,Importance of Personal Branding
Learning the about building network,Learning the about building network
The way ASCEND has broken down the steps one needs to prepare for while entering the Canadian market,The way ASCEND has broken down the steps one needs to prepare for while entering the Canadian market
Everyone who is entering the Canadian market for the firs time should attend the ASCEND workshops Y,Everyone who is entering the Canadian market for the first time should attend the ASCEND workshops Y
Nothing so far.,Nothing so far.
It was very detailed and informative.,It was very detailed and informative.
the course was great.,the course was great.
knowing the type of skills I possess and how to apply them to my day to day life,knowing the type of skills I possess and how to apply them to my day to day life
more pictures for a better understanding,more pictures for a better understanding
identifying best hash tags and creating  digital portfolios,identifying best hash tags and creating  digital portfolios
By making the course short,By making the course short
I will render my services in volunteering in my field,I will render my services in volunteering in my field
"Mentorship, connecting with friends and colleagues","Mentorship, connecting with friends and colleagues"
i will improve on my connection with people,i will improve on my connection with people
the program has been helpful so far,the program has been helpful so far
"resume, job application process","resume, job application process"
job searching and application,job searching and application
You did a u go old job,You did a u go old job
Why sarcasm at work is inappropriate,Why sarcasm at work is inappropriate
The module is self explanatory,The module is self explanatory
Salary review,Salary review
It’s all great,It’s all great
Most of the modules are long. Look for ways to make it short and yet to the point,Most of the modules are long. Look for ways to make it short and yet to the point
The examples used explains exactly what the topics are pointing at,The examples used explains exactly what the topics are pointing at
Ascend program is a stepping stone to success in  the every work environment. It gives you a head start and how to continuously achieve success in your career. Y,Ascend program is a stepping stone to success in  the every work environment. It gives you a head start and how to continuously achieve success in your career. Y
need more time,need more time
Compare salaries in desired fields  . Apply job offer negotiation strategies .Identify the importance of different organizational cultures  . Identify strategies used to help manage time and expectations in the workplace.  Identify the benefits of seeking support in the workplace,Compare salaries in desired fields  . Apply job offer negotiation strategies .Identify the importance of different organizational cultures  . Identify strategies used to help manage time and expectations in the workplace.  Identify the benefits of seeking support in the workplace
i really enjoyed the ASCEND program in WEST,i really enjoyed the ASCEND program in WEST
It was perfect platform for teaching,It was perfect platform for teaching
All of the courses were really necessary for who wants to start to work in Canada,All of the courses were really necessary for who wants to start to work in Canada
"I enjoyed doing this course.I think was like a elementary of being ready at interviews, making a good resume , how to describe your ability and your skills to others in a professional way .Y","I enjoyed doing this course.I think was like a elementary of being ready at interviews, making a good resume , how to describe your ability and your skills to others in a professional way .Y"
The part on How to introduce ourselves,The part on How to introduce ourselves
I would like to hear more students sharing thoughts in the workshop,I would like to hear more students sharing thoughts in the workshop
Breakout activities,Breakout activities
it is great and helpful,it is great and helpful
Linked in,Linkedin
My online image,My online image
mentor instruction,mentor instruction
more practices,more practices
how to write resume,how to write resume
Canada workplace culture introduction.,Canada workplace culture introduction.
it is a great tool to learn for new comers,it is a great tool to learn for newcomers
VERY INSIGHTFUL PROGRAM,VERY INSIGHTFUL PROGRAM
GAME: PERSONAL BRANDING,GAME: PERSONAL BRANDING
Outline existing professional community groups in each Province,Outline existing professional community groups in each Province
Joining a network of professional community,Joining a network of professional community
This was great,This was great
Video: Interview with Bethany Edmunds,Video: Interview with Bethany Edmunds
Reviews by Employers,Reviews by Employers
very insightful,very insightful
What an eye opener to my career!,What an eye opener to my career!
Reviews by past studets and continuing students,Reviews by past studets and continuing students
Very educative and provides an insight on how to brand yourself to meet the demands of employers.,Very educative and provides an insight on how to brand yourself to meet the demands of employers.
"Eric, every student who wishes to succeed in the job market in Canada must go through the ASCEND program to gain industry insights and personal branding to achieve your set goals.","Eric, every student who wishes to succeed in the job market in Canada must go through the ASCEND program to gain industry insights and personal branding to achieve your set goals."
How to identify skills needed in the Canadian work force,How to identify skills needed in the Canadian work force
Indepth details,Indepth details
How to engage with a mentor,How to engage with a mentor
STAR Technique,STAR Technique
It helped me know me well.,It helped me know me well.
It is perfect.,It is perfect.
Great!,Great!
It gave me the rush to take action to meet mentor.,It gave me the rush to take action to meet mentor.
nowhere,nowhere
I am not sure about the points there. So maybe there needs a explain on the rank page.,I am not sure about the points there. So maybe there needs a explain on the rank page.
It shows me the outline of the work environment of Canada.,It shows me the outline of the work environment of Canada.
It is basic and understandable.,It is basic and understandable.
The sorted information different types of employment,The sorted information different types of employment
more information,more information
detailed information about profile building on different websites,detailed information about profile building on different websites
Mentorship is an interesting topic and something I've never thought before,Mentorship is an interesting topic and something I've never thought before
I don't remember,I don't remember
"How to handle the ""valley of despair"" emotions some immigrants go through when they don't get jobs quickly","How to handle the ""valley of despair"" emotions some immigrants go through when they don't get jobs quickly"
Video interviews with industry experts,Video interviews with industry experts
All immigrants should partake of this as part of pre-arrival services. It will help set the right expectations before arrival/landing.,All immigrants should partake of this as part of pre-arrival services. It will help set the right expectations before arrival/landing.
It is really important to identify our own skills,It is really important to identify our own skills
It helped me to find my own strengths and values.,It helped me to find my own strengths and values.
It would help if it provided some example answers.,It would help if it provided some example answers.
Guide to LinkedLn,Guide to LinkedIn
Some more examples would be great,Some more examples would be great
it shows me tips of  how to connect with people,it shows me tips of  how to connect with people
It taught me how to perfect my resumer using STAR principle,It taught me how to perfect my resume using STAR principle
It was helpful to learn how to effectively communicate with co-workers professionally,It was helpful to learn how to effectively communicate with co-workers professionally
It helped me how to negotiate the salary,It helped me how to negotiate the salary
It helped me to have a general understanding of Canadian work culture and I believe it will help in the future,It helped me to have a general understanding of Canadian work culture and I believe it will help in the future
This was a helpful and insightful program.,This was a helpful and insightful program.
very great experience,very great experience
we are able to be separated into breakout rooms so that we can get to know our future classmates,we are able to be separated into breakout rooms so that we can get to know our future classmates
more time for breakout room section is preferrable,more time for breakout room section is preferable
more videos less texts,more videos less texts
information about the workplace culture in Canada,information about the workplace culture in Canada
The ASCEND program prepared me for the future studying and working in Canada.,The ASCEND program prepared me for the future studying and working in Canada.
More engagement and games,More engagement and games
Linkedin support,Linkedin support
"It's a very useful program for newcomers, it helps to understand canadian job attitude at work and how to approach the job market at best","It's a very useful program for newcomers, it helps to understand canadian job attitude at work and how to approach the job market at best"
Those are helpful and thank you so much for your help.,Those are helpful and thank you so much for your help.
Communication and valenteres  work,Communication and valenteres  work
I understand about network and contact with other people very helpful for getting a good job and make a new friends.,I understand about network and contact with other people very helpful for getting a good job and make a new friends.
My favourite is about the face to face interview and communication with employers.,My favourite is about the face to face interview and communication with employers.
"I know ,  what should I do for the interview face to face or video call interview","I know ,  what should I do for the interview face to face or video call interview"
I really appreciate it for your help.,I really appreciate it for your help.
My favourite are four styles and bady languages and try to understand people when you meet them.,My favourite are four styles and body languages and try to understand people when you meet them.
You should be polite and respectful when you meet with someone.,You should be polite and respectful when you meet with someone.
Thank you so much for your help and I appreciate it.,Thank you so much for your help and I appreciate it.
Building relationships and collaboration and  focus on reaching team goals,Building relationships and collaboration and  focus on reaching team goals
"I understood it but, I think, we need to watch  more clear videos with good ascent.","I understood it but, I think, we need to watch  more clear videos with good ascent."
More Videos,More Videos
It is so helpful to find a job.,It is so helpful to find a job.
This program helped me to understand how can I be more successful in interview. Y,This program helped me to understand how can I be more successful in interview. Y
"The effective way it was broken down into relevant modules, and the interactive games","The effective way it was broken down into relevant modules, and the interactive games"
Going to more details,Going to more details
It was a good practice,It was a good practice
It had new information for me,It had new information for me
Generally it was good,Generally it was good
To answer in the way communication continues,To answer in the way communication continues
It would be great adding more video examples about typical practice in interview and negotiations in workplace.,It would be great adding more video examples about typical practice in interview and negotiations in workplace.
"What I like the most is the practical models used in some of the key procedures in job hunting and in workplace such as STAR, SBI, and SMART.","What I like the most is the practical models used in some of the key procedures in job hunting and in workplace such as STAR, SBI, and SMART."
ASCEND program helps me to get well-prepared as a newcomer to Canada technically and mentally.,ASCEND program helps me to get well-prepared as a newcomer to Canada technically and mentally.
good job!,good job!
journal exercise,journal exercise
"make us take more breaks, more positive feedback","make us take more breaks, more positive feedback"
make the long materials into more sections,make the long materials into more sections
the interactive games,the interactive games
This is a very informative online course！I learned a lot about job searching in Canada and now I am more confident.,This is a very informative online course！I learned a lot about job searching in Canada and now I am more confident.
The workshop is great!,The workshop is great!
"Nothing, it's pretty good","Nothing, it's pretty good"
thank you,thank you
SMART,SMART
The program is really helpful for new immigrants. I understood Canadian culture and there a lot of tips how to build carrier in Canada.,The program is really helpful for new immigrants. I understood Canadian culture and there a lot of tips how to build carrier in Canada.
Great Overall.,Great Overall.
Group interaction.,Group interaction.
The understanding of what employer expecte from candicates.,The understanding of what employer expect from candidates.
Introducing different personal branding platform.,Introducing different personal branding platform.
More samples of good personal branding in diferent platform.,More samples of good personal branding in different platform.
Discussing the way to interact and build relationship with mentor.,Discussing the way to interact and build relationship with mentor.
no more,no more
Make us follow the process of regular interview,Make us follow the process of regular interview
More sample of great resume,More sample of great resume
to introduce how to be approporiately accepted in the onboarding process,to introduce how to be approporiately accepted in the onboarding process
It's good to know the salary negotiation strategy,It's good to know the salary negotiation strategy
theory + samples,theory + samples
Enjoy this porgram pretty much and learned a lot.,Enjoy this porgram pretty much and learned a lot.
The group disscussion part.,The group discussion part.
Perhaps add a simple process for the seniors or teacher to demonstrate how to build your own personal brands.,Perhaps add a simple process for the seniors or teacher to demonstrate how to build your own personal brands.
The group discussion part.,The group discussion part.
the group discussion part.,the group discussion part.
maybe more pictures.,maybe more pictures.
vary kinds of learning.,vary kinds of learning.
Very clear and good program. Benifits a lot.,Very clear and good program. Benifits a lot.
"1. Personal branding advise 
2.  Marking digital portfolio
3. social media employment","1. Personal branding advise 
2.  Marking digital portfolio
3. social media employment"
"1. personal branding  advice 
2. social media for employment and  creating a digital portfolio 
3. making a positive on-screen impression","1. personal branding  advice 
2. social media for employment and  creating a digital portfolio 
3. making a positive on-screen impression"
adding some interview tips - as example,adding some interview tips - as example
"Concepts of building relationships, especially mentor relationships, and how these cab support you during your carer journey","Concepts of building relationships, especially mentor relationships, and how these cab support you during your carer journey"
"1. Job research tools and resources to identify job opportunities 
2. update resume and include relevant strong skills, transferable skills, and achievements 
3. job application and interview processes. 
4. strategies to create a positive first impression and successful job interview","1. Job research tools and resources to identify job opportunities 
2. update resume and include relevant strong skills, transferable skills, and achievements 
3. job application and interview processes. 
4. strategies to create a positive first impression and successful job interview"
1. job research and interview process,1. job research and interview process
Different communication channels and styles,Different communication channels and styles
"1. Improved communication styles and channels and their use 
2. Nonverbal communication","1. Improved communication styles and channels and their use 
2. Nonverbal communication"
"Types of organizational charts and structure, Job  offering and Salaries negation tips,  and ways to build successful collaboration in the workplace","Types of organizational charts and structure, Job  offering and Salaries negation tips,  and ways to build successful collaboration in the workplace"
i learned that smooth onboarding is essential for your success in a new role and the steps  There is a joint responsibility between myself and the organization to ensure mutual commitment to a positive experience.,i learned that smooth onboarding is essential for your success in a new role and the steps  There is a joint responsibility between myself and the organization to ensure mutual commitment to a positive experience.
"learned that smooth onboarding is essential for your success in a new role and the steps you, and your organization can take to make it happen. There is a joint responsibility between yourself and the organization to ensure mutual commitment to a positive experience.","learned that smooth onboarding is essential for your success in a new role and the steps you, and your organization can take to make it happen. There is a joint responsibility between yourself and the organization to ensure mutual commitment to a positive experience."
overall great!,overall great!
job searching methods,job searching methods
great resource to get familiar with canadian organizational culture,great resource to get familiar with canadian organizational culture
work life balance,work life balance
already great,already great
leadership styles,leadership styles
more video would help me grasp the concepts,more video would help me grasp the concepts
"I may suggest more cases related to the management thinking and the plan adopted because some of the participants at a later stage, they will establish their own business.","I may suggest more cases related to the management thinking and the plan adopted because some of the participants at a later stage, they will establish their own business."
The next objective is to update my knowledge and my experience just to fit better into the business world.,The next objective is to update my knowledge and my experience just to fit better into the business world.
"In my perspective, the update version of each program must be accessible to the others because it reflects the absolute reality in the business world.","In my perspective, the update version of each program must be accessible to the others because it reflects the absolute reality in the business world."
"just to have a quick view of the others platform as Indeed, ...","just to have a quick view of the others platform as Indeed, ..."
display of personal branding and in addition of all related information in LinkedIn,display of personal branding and in addition of all related information in LinkedIn
more practical cases,more practical cases
several practical cases to be added to the system,several practical cases to be added to the system
the way to contact others especially during the gathering time and the way to interact with the employer,the way to contact others especially during the gathering time and the way to interact with the employer
being active in the society in different ways,being active in the society in different ways
"additional cases related to several platforms as indeed, ...","additional cases related to several platforms as indeed, ..."
star method it was an ultimate progress in recruiting,star method it was an ultimate progress in recruiting
several cases gonna be a great achievement,several cases gonna be a great achievement
"is there any method to be adopted in the case the others dropped the ball on a specific project?
subject to be discussed at a later stage","is there any method to be adopted in the case the others dropped the ball on a specific project?
subject to be discussed at a later stage"
the several types of communication skills,the several types of communication skills
more cases,more cases
"we must interpret more companies like Google, Microsoft and Apple","we must interpret more companies like Google, Microsoft and Apple"
the research and the several types of the companies,the research and the several types of the companies
we must interpret the implication of our legal system to the insurance domain,we must interpret the implication of our legal system to the insurance domain
a simple request just to implement cases related to insurance,a simple request just to implement cases related to insurance
several methods like the STAR or other cases related to our daily taks,several methods like the STAR or other cases related to our daily tasks
must be enrolled upon arrival of the newcomers because it will help them to explore the new environment,must be enrolled upon arrival of the newcomers because it will help them to explore the new environment
IT HELPS TO IMPROVE PERSONAL BRANDING IN THE JOB MARKET.,IT HELPS TO IMPROVE PERSONAL BRANDING IN THE JOB MARKET.
MEDITATION,MEDITATION
THE MODULE IS VERY NFORMATIVE ABOUT CANADIAN WORKPLACE CULTURE.,THE MODULE IS VERY NFORMATIVE ABOUT CANADIAN WORKPLACE CULTURE.
NERWORKING,NETWORKING
IT WILL IMPROVE PROFESSIONAL SOFT SKILLS AND NETWORKING HELPS INCREASE SUPPORT TO GET JOB.,IT WILL IMPROVE PROFESSIONAL SOFT SKILLS AND NETWORKING HELPS INCREASE SUPPORT TO GET JOB.
star and rpl techniques for interview are very helpful.,star and rpl techniques for interview are very helpful.
Interview Preparation,Interview Preparation
it enhances professional communication .,it enhances professional communication .
professionalism and communication,professionalism and communication
This module is useful to learn techniques to adjust and be successful in the Canadian workplace culture.,This module is useful to learn techniques to adjust and be successful in the Canadian workplace culture.
preparing for onboarding to the new job in Canada.,preparing for onboarding to the new job in Canada.
It helps how to understand the Canadian Workplace culture.,It helps how to understand the Canadian Workplace culture.
it has good materials and resources to follow.,it has good materials and resources to follow.
knowledge about Canadian workplace culture,knowledge about Canadian workplace culture
The program is very useful to get job and its really helpful to understand and progress in the Canadian workplace culture.,The program is very useful to get job and its really helpful to understand and progress in the Canadian workplace culture.
"I think Workshop 1 is very helpful, give me a lot confidence to start my career in Canada.","I think Workshop 1 is very helpful, give me a lot confidence to start my career in Canada."
The growth mindset part,The growth mindset part
Maybe provide more suggestions on how to build a growth mindset,Maybe provide more suggestions on how to build a growth mindset
informative and helpful module!,informative and helpful module!
tips about building personal brand,tips about building personal brand
"nothing,perfect workshop","nothing,perfect workshop"
KFC Method,KFC Method
"nothing,perfcet workshop","nothing,perfect workshop"
perfect workshop,perfect workshop
"nothing, perfect program","nothing, perfect program"
"very helpful,thank you","very helpful,thank you"
NO COMMENTS,NO COMMENTS
interview skills,interview skills
Discussion part.,Discussion part.
Please extand the duration of discussion part.,Please extend the duration of discussion part.
Group Discussion part.,Group Discussion part.
It tells me the whole processs of finding a job.,It tells me the whole process of finding a job.
It's very useful to learn the basic knowledge of finding a job in Canada!,It's very useful to learn the basic knowledge of finding a job in Canada!
everything its ok,everything its ok
I think you are covering most of the important themes when is about the growth in your career,I think you are covering most of the important themes when is about the growth in your career
"This is a very useful tool to start to building your career path in Canada, giving you a frame or reference of the first steps in order to achieve your professional goals.","This is a very useful tool to start to building your career path in Canada, giving you a frame or reference of the first steps in order to achieve your professional goals."
"Everything is great, no more additional comments.","Everything is great, no more additional comments."
Growth mindset.,Growth mindset.
Identifying strengths-Key strengths that employers look for.,Identifying strengths-Key strengths that employers look for.
Would have everyone better engaged if the discussion session is longer.,Would have everyone better engaged if the discussion session is longer.
No more comments,No more comments
Group session of PEEC Statement and feedback,Group session of PEEC Statement and feedback
Maybe elaborate a little bit on how to optimize a LinkedIn Profile,Maybe elaborate a little bit on how to optimize a LinkedIn Profile
Resources shared by Co-op & Career Service Office.,Resources shared by Co-op & Career Service Office.
Everything is perfect till now.,Everything is perfect till now.
The STAR method that helps prepare behavioral questions.,The STAR method that helps prepare behavioral questions.
Maybe a mock interview would trigger students' interest of interaction.,Maybe a mock interview would trigger students' interest of interaction.
No ideas right now.,No ideas right now.
Salary negotiation experience sharing.,Salary negotiation experience sharing.
More engagement.,More engagement.
"Some of the additional resources are a bit out-dated, since they are articles from 2014 or 2016.","Some of the additional resources are a bit out-dated, since they are articles from 2014 or 2016."
The authentic interviews,The authentic interviews
The interaction part and the meditation skills.,The interaction part and the meditation skills.
The interactional part,The interactional part
Learning more job searching skills,Learning more job searching skills
The interaction part is so fun,The interaction part is so fun
Such an Amazing program!,Such an Amazing program!
Thanks a lot Carmen!,Thanks a lot Carmen!
I would change time for meeting,I would change time for meeting
I would suggest creating more opportunities for group discussion.,I would suggest creating more opportunities for group discussion.
Friendly interactions between hosts and participants,Friendly interactions between hosts and participants
Share more real life examples.,Share more real life examples.
Present its content in a more engaging way and minimize the use of paragraphs after paragraphs.,Present its content in a more engaging way and minimize the use of paragraphs after paragraphs.
It's quite practical and provides lots of examples of previous immigrants who have similar experience.,It's quite practical and provides lots of examples of previous immigrants who have similar experience.
"Demanding, intensive yet quite practical, it includes personal examples of past immigrants who have gone through the whole process and who could relate to the kind of problems a newcomer may encounter as he builds his way up to employment in a completely new environment.","Demanding, intensive yet quite practical, it includes personal examples of past immigrants who have gone through the whole process and who could relate to the kind of problems a newcomer may encounter as he builds his way up to employment in a completely new environment."
I don't have any now.,I don't have any now.
It reminds me of the existing skills that I didn't notice before.,It reminds me of the existing skills that I didn't notice before.
so far all good,so far all good
no comments right now.,no comments right now.
it made me realize how important to be on Linkedin.,it made me realize how important to be on Linkedin.
NA.,Na.
everything's good so far.,everything's good so far.
ASCEND has not only equipped me with valuable skills and knowledge but has also instilled a sense of confidence and purpose that will undoubtedly propel me towards success in future.,ASCEND has not only equipped me with valuable skills and knowledge but has also instilled a sense of confidence and purpose that will undoubtedly propel me towards success in future.
Skills developed,Skills developed
This is a great and fulfilling program for new immigrants,This is a great and fulfilling program for new immigrants
group talk part,group talk part
allocate more time on group discussion,allocate more time on group discussion
group discussion part,group discussion part
allocate more time to group discussion,allocate more time to group discussion
how to establish effective mentorship,how to establish effective mentorship
More videos with Nasir to learn more different situations.,More videos with Nasir to learn more different situations.
Being specific on each module.,Being specific on each module.
Yes.,Yes.
MORE GAMES,MORE GAMES
GAMES,GAMES
Would recommend to new grad students,Would recommend to new grad students
"In general, the first workshop gets me familiar with the format of ascend workshops and let me know what to expect.","In general, the first workshop gets me familiar with the format of ascend workshops and let me know what to expect."
The explanation of growth mindset inspires me of getting out of my comfort zone. This mindsets prepares me for facing upcoming challenges in the coming semester.,The explanation of growth mindset inspires me of getting out of my comfort zone. This mindsets prepares me for facing upcoming challenges in the coming semester.
It would be better if more real world examples can be included,It would be better if more real world examples can be included
Ty Lowe's speech is very inspiring,Ty Lowe's speech is very inspiring
Vedios,Vedeios
adding some interactive games,adding some interactive games
the Game of choosing appropriate or inappropriate response to a mentor,the Game of choosing appropriate or inappropriate response to a mentor
more writing examples of networking email and short messages,more writing examples of networking email and short messages
It was a very good session.,It was a very good session.
The interactions and discussion with every participants.,The interactions and discussion with every participants.
More time in discussions,More time in discussions
More discussion or videos sharing  during workshop session about personal branding.,More discussion or videos sharing  during workshop session about personal branding.
"It was a very interactive section. We had the opportunity to speak, listen, correct and discuss lot of information.","It was a very interactive section. We had the opportunity to speak, listen, correct and discuss lot of information."
Nothing it good.,Nothing it good.
It was interesting and informative.,It was interesting and informative.
learning about net working,learning about networking
"More discussions,","More discussions,"
more examples for interview soft skills,more examples for interview soft skills
learning about interview soft skills.,learning about interview soft skills.
More tips about job search,More tips about job search
good topic for anyone trying for jobs and getting prepared,good topic for anyone trying for jobs and getting prepared
learning about professional communication,learning about professional communication
it was worth learning about career progression,it was worth learning about career progression
learning about career progression,learning about career progression
the workshop was very  interesting,the workshop was very  interesting
more videos and examples for topics which are difficult for a person who zero work experience.,more videos and examples for topics which are difficult for a person who zero work experience.
All the modules are very useful for new immigrants how the work culture in Canada. I liked all the guest speakers and the module regarding interview.,All the modules are very useful for new immigrants how the work culture in Canada. I liked all the guest speakers and the module regarding interview.
"As an immigrant in Canada, I have acquired numerous certifications to enhance my employability. However, the Ascend Program stands out as a unique opportunity that elevates our learning experience to a whole new level. It provides comprehensive insights into the intricacies of working in an office environment in Canada and equips us with a profound understanding of the Canadian work culture and processes.","As an immigrant in Canada, I have acquired numerous certifications to enhance my employability. However, the Ascend Program stands out as a unique opportunity that elevates our learning experience to a whole new level. It provides comprehensive insights into the intricacies of working in an office environment in Canada and equips us with a profound understanding of the Canadian work culture and processes."
People all very friendly,People all very friendly
Can’t wait to share,Can’t wait to share
Know your strengths and develop them,Know your strengths and develop them
EN,IN
communite with people,communicate with people
more video on different scenarios,more video on different scenarios
The interactive quizzes,The interactive quizzes
"I recommend this program to everyone, it's very helpful for new comers!","I recommend this program to everyone, it's very helpful for new comers!"
can divide the workshop to experienced and inexperienced.,can divide the workshop to experienced and inexperienced.
didn't find of much help because i am experienced in job market(but not in Canada),didn't find of much help because i am experienced in job market(but not in Canada)
less duplicated content,less duplicated content
the video interview,the video interview
include a lot of details,include a lot of details
Really good.,Really good.
Students were divided into groups to chat with each others,Students were divided into groups to chat with each others
More communication parts,More communication parts
hh the meditation part,hh the meditation part
Use more interactive way to deliver whatever you want to convey~,Use more interactive way to deliver whatever you want to convey~
How to make use of LinkedIn and facebook to network,How to make use of LinkedIn and facebook to network
Have no idea,Have no idea
The introduction to mentor-mentee relationship,The introduction to mentor-mentee relationship
No idae,No Idae
maybe adding some notes which can be download each module.,maybe adding some notes which can be download each module.
the resume and interview preparation parts.,the resume and interview preparation parts.
The whole program is designed in good way.,The whole program is designed in good way.
The mediation and learning about transferable skills,The mediation and learning about transferable skills
The videos on personal branding,The videos on personal branding
learning how to network,learning how to network
i like the additional resources,i like the additional resources
The entire module.,The entire module.
"Everything, from the video interviews, to the virtual class participation where instructors take us through the course module.","Everything, from the video interviews, to the virtual class participation where instructors take us through the course module."
"I liked that it was a self paced module and we also got an opportunity to meet virtually with instructors who took us through the course module. It was a very impactful learning session for me, I got better understanding of the Canadian work culture and clear expectations. I would gladly recommend this module to new immigrants. I also like the ""Nasir"" character, he was very relatable.
Idara
Y","I liked that it was a self paced module and we also got an opportunity to meet virtually with instructors who took us through the course module. It was a very impactful learning session for me, I got better understanding of the Canadian work culture and clear expectations. I would gladly recommend this module to new immigrants. I also like the ""Nasir"" character, he was very relatable.
Idara
Y"
Bascially the entire program. it was seemless and easy to participate in,Basically the entire program. it was seamless and easy to participate in
i enjoyed the program,i enjoyed the program
brief each topic,brief each topic
"the topics are well chosen that help all the participants to have idea about the work environment in Canada.
I like self branding topic.","the topics are well chosen that help all the participants to have idea about the work environment in Canada.
I like self branding topic."
"First step to be confident in the workplace is to have the knowledge about the roles and the nature of it, ELT provides this knowledge.","First step to be confident in the workplace is to have the knowledge about the roles and the nature of it, ELT provides this knowledge."
It was perfect for me.,It was perfect for me.
During the breakout room where we shared some wonderful experiences discussing our fears to interviews and some applicable ASCEND modules. I was inspired by the shared experiences and was able to reconnect with my breakout room mates after the workshop.,During the breakout room where we shared some wonderful experiences discussing our fears to interviews and some applicable ASCEND modules. I was inspired by the shared experiences and was able to reconnect with my breakout room mates after the workshop.
Option for a trial interview.,Option for a trial interview.
Some few have already been shared by myself during the evaluation of each module. May I suggest that these earlier comments be reviewed. Thank you.,Some few have already been shared by myself during the evaluation of each module. May I suggest that these earlier comments be reviewed. Thank you.
The program is educative and interactive in all the modules and I must say its a good work done,The program is educative and interactive in all the modules and I must say its a good work done
The ASCEND program is a well packaged program that has offered me an extensive exposure to the working community in Canada. It is indeed worth one's time. I highly recommend it! - Sheriff. Y,The ASCEND program is a well packaged program that has offered me an extensive exposure to the working community in Canada. It is indeed worth one's time. I highly recommend it! - Sheriff. Y
EASY AND TIME SAVING,EASY AND TIME SAVING
"This course was vey detailed and well informative for new immigrants. Inspite of not having canadian experience, it was very easy to understand the important facts and the organizational culture. Y","This course was very detailed and well informative for new immigrants. In Spite of not having canadian experience, it was very easy to understand the important facts and the organizational culture. Y"
I could be a little more interactive including more matching games,I could be a little more interactive including more matching games
The best part for me are the videos with real examples of successful immigrants that have develop a professional carrier in Canada.,The best part for me are the videos with real examples of successful immigrants that have develop a professional carrier in Canada.
"I love the program, it has motivated me to use my soft skills and to remember that collaboration and adjusting to the different scenarios in the work place is very important to achieve your career goal.  Y
Norma","I love the program, it has motivated me to use my soft skills and to remember that collaboration and adjusting to the different scenarios in the work place is very important to achieve your career goal.  Y
Norma"
Every thing is good!,Every thing is good!
every part,every part
GOOD GOOD,GOOD GOOD
Introducing the culture of networking in Canada,Introducing the culture of networking in Canada
An introduction to the working culture and environment of Canada,An introduction to the working culture and environment of Canada
J'apprécie beaucoup toutes les informations qui sont bien organisées et très pertinentes pour les immigrants qui cherchent à réussir leur intégration professionnelle.,I really appreciate all the information that is well organized and very relevant to immigrants who seek to succeed in their professional integration.
Je recommande d'inclure des vidéos en français,I recommend including videos in French
J'aimerais que ce programme soit promu dans les programmes de francisation de la province de Québec. Y,I would like this program to be promoted in the francization programs of the province of Quebec.Y
We need to concentrate more on transferable skills,We need to concentrate more on transferable skills
Communication skill,Communication skill
Everything is well,Everything is well
Other social media,Other social media
Perfect no additional comments,Perfect no additional comments
Resume format,Resume format
offer letter,offer letter
Salary,Salary
Almost covered everything,Almost covered everything
How to network with others,How to network with others
I have learned how to get job professionally and different methods to reach hiring person.,I have learned how to get job professionally and different methods to reach hiring person.
